sample_id,label,label_id,image_path,audio_path,image_raw_path,split
aluminum01,aluminum,0,data/fusiondata/img_jpg/aluminum01.jpg,data/fusiondata/audio/aluminum01.wav,data/fusiondata/img/aluminum01.heic,val
aluminum02,aluminum,0,data/fusiondata/img_jpg/aluminum02.jpg,data/fusiondata/audio/aluminum02.wav,data/fusiondata/img/aluminum02.heic,train
aluminum03,aluminum,0,data/fusiondata/img_jpg/aluminum03.jpg,data/fusiondata/audio/aluminum03.wav,data/fusiondata/img/aluminum03.heic,train
aluminum04,aluminum,0,data/fusiondata/img_jpg/aluminum04.jpg,data/fusiondata/audio/aluminum04.wav,data/fusiondata/img/aluminum04.heic,test
aluminum05,aluminum,0,data/fusiondata/img_jpg/aluminum05.jpg,data/fusiondata/audio/aluminum05.wav,data/fusiondata/img/aluminum05.heic,train
aluminum06,aluminum,0,data/fusiondata/img_jpg/aluminum06.jpg,data/fusiondata/audio/aluminum06.wav,data/fusiondata/img/aluminum06.heic,train
aluminum07,aluminum,0,data/fusiondata/img_jpg/aluminum07.jpg,data/fusiondata/audio/aluminum07.wav,data/fusiondata/img/aluminum07.heic,train
aluminum08,aluminum,0,data/fusiondata/img_jpg/aluminum08.jpg,data/fusiondata/audio/aluminum08.wav,data/fusiondata/img/aluminum08.heic,train
aluminum09,aluminum,0,data/fusiondata/img_jpg/aluminum09.jpg,data/fusiondata/audio/aluminum09.wav,data/fusiondata/img/aluminum09.heic,val
aluminum10,aluminum,0,data/fusiondata/img_jpg/aluminum10.jpg,data/fusiondata/audio/aluminum10.wav,data/fusiondata/img/aluminum10.heic,train
aluminum11,aluminum,0,data/fusiondata/img_jpg/aluminum11.jpg,data/fusiondata/audio/aluminum11.wav,data/fusiondata/img/aluminum11.heic,train
aluminum12,aluminum,0,data/fusiondata/img_jpg/aluminum12.jpg,data/fusiondata/audio/aluminum12.wav,data/fusiondata/img/aluminum12.heic,train
aluminum13,aluminum,0,data/fusiondata/img_jpg/aluminum13.jpg,data/fusiondata/audio/aluminum13.wav,data/fusiondata/img/aluminum13.heic,train
aluminum14,aluminum,0,data/fusiondata/img_jpg/aluminum14.jpg,data/fusiondata/audio/aluminum14.wav,data/fusiondata/img/aluminum14.heic,train
aluminum15,aluminum,0,data/fusiondata/img_jpg/aluminum15.jpg,data/fusiondata/audio/aluminum15.wav,data/fusiondata/img/aluminum15.heic,train
aluminum16,aluminum,0,data/fusiondata/img_jpg/aluminum16.jpg,data/fusiondata/audio/aluminum16.wav,data/fusiondata/img/aluminum16.heic,train
aluminum17,aluminum,0,data/fusiondata/img_jpg/aluminum17.jpg,data/fusiondata/audio/aluminum17.wav,data/fusiondata/img/aluminum17.heic,train
aluminum18,aluminum,0,data/fusiondata/img_jpg/aluminum18.jpg,data/fusiondata/audio/aluminum18.wav,data/fusiondata/img/aluminum18.heic,train
aluminum19,aluminum,0,data/fusiondata/img_jpg/aluminum19.jpg,data/fusiondata/audio/aluminum19.wav,data/fusiondata/img/aluminum19.heic,train
aluminum20,aluminum,0,data/fusiondata/img_jpg/aluminum20.jpg,data/fusiondata/audio/aluminum20.wav,data/fusiondata/img/aluminum20.heic,train
aluminum21,aluminum,0,data/fusiondata/img_jpg/aluminum21.jpg,data/fusiondata/audio/aluminum21.wav,data/fusiondata/img/aluminum21.heic,test
aluminum22,aluminum,0,data/fusiondata/img_jpg/aluminum22.jpg,data/fusiondata/audio/aluminum22.wav,data/fusiondata/img/aluminum22.heic,train
aluminum23,aluminum,0,data/fusiondata/img_jpg/aluminum23.jpg,data/fusiondata/audio/aluminum23.wav,data/fusiondata/img/aluminum23.heic,train
aluminum24,aluminum,0,data/fusiondata/img_jpg/aluminum24.jpg,data/fusiondata/audio/aluminum24.wav,data/fusiondata/img/aluminum24.heic,train
aluminum25,aluminum,0,data/fusiondata/img_jpg/aluminum25.jpg,data/fusiondata/audio/aluminum25.wav,data/fusiondata/img/aluminum25.heic,train
carton01,carton,1,data/fusiondata/img_jpg/carton01.jpg,data/fusiondata/audio/carton01.wav,data/fusiondata/img/carton01.heic,val
carton02,carton,1,data/fusiondata/img_jpg/carton02.jpg,data/fusiondata/audio/carton02.wav,data/fusiondata/img/carton02.heic,train
